Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Цвет;Пробег;Руль;Поколение;;;;;
Audi;A5;2021;4650000;https://auto.drom.ru/kazan/audi/a5/53433435.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;2.0 л, гибрид;248 л.с., налог;автомат;4WD;серый;46 216 км;левый;;;хэтчбек 5 дв.;;;
Audi;Q5;2021;4649000;https://auto.drom.ru/spb/audi/q5/206307649.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;автомат;4WD;синий;37 266 км;левый;;;;;;
Audi;A6;2021;5149000;https://auto.drom.ru/spb/audi/a6/870552852.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л, гибрид;245 л.с., налог;робот;4WD;белый;30 700 км;левый;5 поколение;2.0 45 TFSI quattro S tronic Sport;седан;;;
Audi;Q8;2021;12500000;https://auto.drom.ru/spb/audi/q8/54097439.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;серый;23 851 км;левый;1 поколение;;;;;
Audi;A6;2021;4075777;https://auto.drom.ru/spb/audi/a6/54088396.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л, гибрид;245 л.с., налог;робот;4WD;синий;89 852 км;левый;5 поколение;2.0 45 TFSI quattro S tronic Advance;седан;;;
Audi;A6;2021;5025000;https://auto.drom.ru/spb/audi/a6/53004672.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;204 л.с., налог;автомат;4WD;черный;49 445 км;левый;;;седан;;;
Audi;Q5;2021;4200000;https://auto.drom.ru/podolsk/audi/q5/470112241.html;;;;;Подольске;бензин, 2.0 л;265 л.с., налог;автомат;4WD;серебристый;16 800 км;левый;2 поколение, рестайлинг;;;;;
Audi;Q5;2021;4999000;https://auto.drom.ru/spb/audi/q5/463699308.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;автомат;4WD;синий;50 460 км;левый;;;;;;
Audi;A6;2021;5495000;https://auto.drom.ru/moscow/audi/a6/938967893.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л, гибрид;245 л.с., налог;робот;4WD;серый;13 754 км;левый;5 поколение;2.0 45 TFSI quattro S tronic Sport;седан;;;
Audi;A3;2021;3195000;https://auto.drom.ru/spb/audi/a3/448969927.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.4 л;150 л.с., налог;АКПП;передний;синий;39 099 км;левый;4 поколение;;седан;;;
Audi;A5;2021;5250000;https://auto.drom.ru/moscow/audi/a5/52912547.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;2.0 л;;автомат;;серый;9 816 км;левый;2 поколение, рестайлинг;;лифтбек;;;
Audi;Q5;2021;4809000;https://auto.drom.ru/moscow/audi/q5/104881963.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;автомат;4WD;синий;90 809 км;левый;;;;;;
Audi;A3;2021;2949000;https://auto.drom.ru/spb/audi/a3/54083337.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.4 л;150 л.с., налог;АКПП;передний;белый;36 000 км;левый;4 поколение;;седан;;;
Audi;Q8;2021;8090000;https://auto.drom.ru/spb/audi/q8/483531015.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;синий;76 444 км;левый;1 поколение;;;;;
Audi;Q8;2021;9990000;https://auto.drom.ru/spb/audi/q8/345752990.html;;;;;Санкт-Петербурге;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;черный;27 000 км;левый;1 поколение;3.0 50 TDI quattro tiptronic;;;;
Audi;A6;2021;4649700;https://auto.drom.ru/moscow/audi/a6/672948003.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;автомат;4WD;серый;62 230 км;левый;;;седан;;;
Audi;SQ5;2021;6200000;https://auto.drom.ru/moscow/audi/sq5/54020929.html;;;;;Москве;бензин, 3.0 л;354 л.с., налог;АКПП;4WD;черный;27 000 км;левый;2 поколение, рестайлинг;3.0 TFSI quattro tiptronic;;;;
Audi;Q8;2021;9150000;https://auto.drom.ru/moscow/audi/q8/598455512.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;оранжевый;28 411 км;левый;1 поколение;3.0 45 TDI quattro tiptronic;;;;
Audi;A5;2021;6311000;https://auto.drom.ru/moscow/audi/a5/53787678.html;;;;;Москве;бензин, 2.0 л, гибрид;190 л.с., налог;робот;передний;серый;;левый;2 поколение, рестайлинг;2.0 40 TFSI S tronic Design;лифтбек;;;
Audi;A5;2021;4000000;https://auto.drom.ru/minsk/audi/a5/53786685.html;;;;;Минске;бензин, 2.0 л, гибрид;204 л.с., налог;робот;4WD;черный;36 000 км;левый;2 поколение, рестайлинг;2.0 40 TFSI quattro S tronic Advanced;лифтбек;;;
Audi;A4;2021;3450000;https://auto.drom.ru/moscow/audi/a4/52977127.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;серый;32 545 км;левый;5 поколение, рестайлинг;;седан;;;
Audi;Q5;2021;5438000;https://auto.drom.ru/moscow/audi/q5/812654675.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;автомат;4WD;черный;39 225 км;левый;;;;;;
Audi;e-tron;2021;6889000;https://auto.drom.ru/spb/audi/e-tron/829293075.html;Мощность двигателя не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;электро;;автомат;4WD;белый;19 359 км;левый;1 поколение;;;;;
Audi;Q5 Sportback;2021;6198000;https://auto.drom.ru/moscow/audi/q5_sportback/53912317.html;Модель не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;автомат;4WD;зеленый;33 598 км;левый;;;;;;
Audi;Q5;2021;3943302;https://auto.drom.ru/minsk/audi/q5/53392919.html;;;;;Минске;бензин, 2.0 л;249 л.с., налог;автомат;4WD;;32 860 км;левый;2 поколение, рестайлинг;;;;;
Audi;Q5;2021;5350000;https://auto.drom.ru/lipetsk/audi/q5/54067390.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Липецке;бензин, 2.0 л;249 л.с., налог;автомат;4WD;белый;33 000 км;левый;;;;;;
Audi;A5;2021;3750000;https://auto.drom.ru/spb/audi/a5/54066308.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;190 л.с., налог;автомат;передний;синий;67 236 км;левый;;;купе;;;
Audi;A5;2021;4715000;https://auto.drom.ru/moscow/audi/a5/54059788.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;190 л.с., налог;автомат;передний;зеленый;55 318 км;левый;;;купе;;;
Audi;Q8;2021;8500000;https://auto.drom.ru/moscow/audi/q8/53393661.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;черный;17 526 км;левый;1 поколение;3.0 45 TDI quattro tiptronic;;;;
Audi;Q7;2021;7850000;https://auto.drom.ru/moscow/audi/q7/53393666.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;черный;16 278 км;левый;2 поколение, рестайлинг;;;;;
Audi;Q5;2021;4999000;https://auto.drom.ru/spb/audi/q5/49092893.html;Электронный ПТС выдан;;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л, гибрид;249 л.с., налог;робот;4WD;зеленый;12 000 км, без пробега по РФ;левый;2 поколение, рестайлинг;2.0 45 TFSI quattro S tronic;;;;
Audi;A6;2021;4250000;https://auto.drom.ru/spb/audi/a6/761369931.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л, гибрид;190 л.с., налог;робот;передний;черный;34 000 км;левый;5 поколение;;седан;;;
Audi;Q7;2021;8302175;https://auto.drom.ru/minsk/audi/q7/52382175.html;;;;;Минске;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;черный;75 000 км;левый;2 поколение, рестайлинг;;;;;
Audi;Q3 Sportback;2021;4500000;https://auto.drom.ru/moscow/audi/q3_sportback/52909512.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;180 л.с., налог;робот;4WD;черный;15 111 км;левый;1 поколение;;;;;
Audi;A5;2021;5200000;https://auto.drom.ru/moscow/audi/a5/53768863.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;автомат;4WD;красный;22 877 км;левый;;;купе;;;
Audi;A4;2021;2450000;https://auto.drom.ru/moscow/audi/a4/54052746.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;белый;46 000 км;левый;5 поколение, рестайлинг;;седан;требуется ремонт или не на ходу;;
Audi;Q7;2021;9217800;https://auto.drom.ru/moscow/audi/q7/54050815.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;черный;52 409 км;левый;2 поколение, рестайлинг;3.0 45 TDI quattro tiptronic;;;;
Audi;e-tron GT;2021;11000000;https://auto.drom.ru/moscow/audi/e-tron_gt/53768607.html;Мощность двигателя не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;электро;530 л.с., налог;АКПП;4WD;серый;25 000 км;левый;1 поколение;;;;;
Audi;Q5;2021;4700000;https://auto.drom.ru/moscow/audi/q5/53763496.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л, гибрид;265 л.с., налог;робот;4WD;серебристый;31 000 км;левый;2 поколение, рестайлинг;2.0 45 TFSI quattro S tronic;;;;
Audi;RS7;2021;15870000;https://auto.drom.ru/moscow/audi/rs7/110610554.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л;600 л.с., налог;АКПП;4WD;серый;11 807 км;левый;2 поколение;4.0 TFSI tiptronic quattro;;;;
Audi;A6;2021;5095000;https://auto.drom.ru/volgograd/audi/a6/947376454.html;;;;;Волгограде;бензин, 2.0 л;245 л.с., налог;автомат;передний;белый;41 884 км;левый;;;седан;;;
Audi;Q8;2021;9989000;https://auto.drom.ru/moscow/audi/q8/661315564.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;синий;37 875 км;левый;1 поколение;;;;;
Audi;A4;2021;3250000;https://auto.drom.ru/moscow/audi/a4/727214117.html;;;;;Москве;бензин, 2.0 л;249 л.с., налог;робот;4WD;черный;31 000 км;левый;5 поколение, рестайлинг;;седан;;;
Audi;e-tron Sportback;2021;9999000;https://auto.drom.ru/moscow/audi/e-tron_sportback/48869184.html;;;;;Москве;электро;402 л.с., налог;АКПП;4WD;черный;;левый;1 поколение;95 kWh 55 quattro e-tron;;;;
Audi;RS6;2021;17180000;https://auto.drom.ru/spb/audi/rs6/53737627.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.0 л;600 л.с., налог;автомат;4WD;зеленый;6 285 км;левый;;;универсал;;;
Audi;Q5;2021;5470000;https://auto.drom.ru/volgograd/audi/q5/53732162.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 2.0 л;249 л.с., налог;автомат;4WD;синий;23 523 км;левый;;;;;;
Audi;A3;2021;3400000;https://auto.drom.ru/moscow/audi/a3/53336912.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.4 л;150 л.с., налог;АКПП;передний;белый;43 040 км;левый;4 поколение;;седан;;;
Audi;A3;2021;2477000;https://auto.drom.ru/spb/audi/a3/449903858.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.4 л;150 л.с., налог;АКПП;передний;синий;28 700 км;левый;4 поколение;1.4 35 TFSI Tiptronic Sport;седан;;;
Audi;A6;2021;4847900;https://auto.drom.ru/moscow/audi/a6/685103002.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;автомат;4WD;синий;98 589 км;левый;;;седан;;;
Audi;e-tron Sportback;2021;6499000;https://auto.drom.ru/kirov/audi/e-tron_sportback/53004307.html;;;;;Кирове;электро;308 л.с., налог;АКПП;4WD;красный;29 100 км, без пробега по РФ;левый;1 поколение;71 kWh 50 quattro e-tron S line;;;;
Audi;Q3;2021;3075222;https://auto.drom.ru/moscow/audi/q3/54011898.html;;;;;Москве;бензин, 2.0 л;231 л.с., налог;автомат;4WD;синий;1 777 км;левый;2 поколение;;;;;
Audi;A4;2021;5190000;https://auto.drom.ru/voronezh/audi/a4/53716422.html;;;;;Воронеже;бензин, 2.0 л;150 л.с., налог;робот;передний;черный;;левый;5 поколение, рестайлинг;;седан;;;
Audi;A8;2021;16600000;https://auto.drom.ru/voronezh/audi/a8/50404883.html;;;;;Воронеже;бензин, 3.0 л;340 л.с., налог;автомат;4WD;черный;;левый;;;;;;
Audi;Q5;2021;5109990;https://auto.drom.ru/moscow/audi/q5/743318156.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;автомат;4WD;синий;47 634 км;левый;;;;;;
Audi;Q3;2021;3150000;https://auto.drom.ru/spb/audi/q3/866980459.html;;;;;Санкт-Петербурге;бензин, 2.0 л;231 л.с., налог;автомат;4WD;черный;41 000 км;левый;2 поколение;;;;;
Audi;Q5;2021;4617358;https://auto.drom.ru/minsk/audi/q5/133309479.html;;;;;Минске;дизель, 2.0 л;204 л.с., налог;автомат;4WD;синий;68 000 км;левый;2 поколение, рестайлинг;;;;;
Audi;S8;2021;17500000;https://auto.drom.ru/spb/audi/s8/53995268.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.0 л;571 л.с., налог;автомат;4WD;коричневый;9 534 км;левый;;;;;;
Audi;A4;2021;3080700;https://auto.drom.ru/moscow/audi/a4/53700708.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;робот;передний;белый;86 451 км;левый;5 поколение, рестайлинг;;седан;;;
Audi;Q3;2021;4390000;https://auto.drom.ru/moscow/audi/q3/53290393.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;180 л.с., налог;робот;4WD;красный;7 283 км;левый;2 поколение;2.0 40 TFSI quattro S tronic Sport;;;;
